id,symbol,interval,ema_fast,ema_slow,atr_period,sl_atr_mult,tp_atr_mult,risk_pct,fees_bps,trades,wins,win_rate,equity_start,equity_end,pnl_total,return_pct,max_drawdown_pct,score
52,SOLUSDC,15m,20,55,14,1.75,3.0,0.0025,10.0,58,23,39.6551724137931,10000.0,10122.013113997904,122.01311399790393,1.2201311399790304,1.44805456594622,0.4961038570059204
53,SOLUSDC,15m,20,55,14,1.75,3.0,0.005,10.0,58,23,39.6551724137931,10000.0,10239.722187811018,239.72218781101765,2.3972218781101784,2.8784638907018696,0.9579899327592436
54,SOLUSDC,15m,20,55,14,1.75,3.0,0.0075,10.0,58,23,39.6551724137931,10000.0,10352.964027022197,352.9640270221971,3.5296402702219787,4.291403259903343,1.383938640270307
55,SOLUSDC,15m,20,55,14,1.75,3.5,0.0025,10.0,51,18,35.294117647058826,10000.0,10115.080213974063,115.08021397406264,1.1508021397406365,1.6289029347636164,0.3363506723588283
56,SOLUSDC,15m,20,55,14,1.75,3.5,0.005,10.0,51,18,35.294117647058826,10000.0,10225.651237876698,225.65123787669836,2.256512378766984,3.235089016777737,0.6389678703781154
57,SOLUSDC,15m,20,55,14,1.75,3.5,0.0075,10.0,51,18,35.294117647058826,10000.0,10331.566366369108,331.56636636910844,3.315663663691093,4.818822763191084,0.9062522820955512
58,SOLUSDC,15m,20,55,14,1.75,4.0,0.0025,10.0,48,16,33.33333333333333,10000.0,10122.199018297177,122.19901829717674,1.2219901829717772,1.3842359739543524,0.529872195994601
59,SOLUSDC,15m,20,55,14,1.75,4.0,0.005,10.0,48,16,33.33333333333333,10000.0,10239.414780673296,239.41478067329626,2.3941478067329713,2.7568431592579308,1.015726227104006
60,SOLUSDC,15m,20,55,14,1.75,4.0,0.0075,10.0,48,16,33.33333333333333,10000.0,10351.482315953685,351.4823159536845,3.5148231595368395,4.117761179622083,1.455942569725798
61,SOLUSDC,15m,20,55,14,2.0,2.0,0.0025,10.0,61,31,50.81967213114754,10000.0,10003.919661964352,3.9196619643516897,0.03919661964351118,1.2159811197264423,-0.56879394021971
62,SOLUSDC,15m,20,55,14,2.0,2.0,0.005,10.0,61,31,50.81967213114754,10000.0,10004.415818818861,4.415818818861226,0.04415818818861439,2.423564416101693,-1.167624019862232
63,SOLUSDC,15m,20,55,14,2.0,2.0,0.0075,10.0,61,31,50.81967213114754,10000.0,10001.486384437369,1.4863844373685424,0.01486384437368038,3.6227114925792434,-1.7964919019159413
64,SOLUSDC,15m,20,55,14,2.0,2.5,0.0025,10.0,54,25,46.2962962962963,10000.0,10023.744615747813,23.74461574781344,0.23744615747813835,1.2817154434212135,-0.4034115642324684
65,SOLUSDC,15m,20,55,14,2.0,2.5,0.005,10.0,54,25,46.2962962962963,10000.0,10043.832348537564,43.83234853756403,0.4383234853756468,2.555101180716263,-0.8392271049824847
66,SOLUSDC,15m,20,55,14,2.0,2.5,0.0075,10.0,54,25,46.2962962962963,10000.0,10060.244286448722,60.24428644872205,0.6024428644872293,3.820065939569682,-1.3075901052976118
67,SOLUSDC,15m,20,55,14,2.0,3.0,0.0025,10.0,52,22,42.30769230769231,10000.0,10103.102038400022,103.10203840002214,1.0310203840002252,1.1835870044754289,0.4392268817625108
68,SOLUSDC,15m,20,55,14,2.0,3.0,0.005,10.0,52,22,42.30769230769231,10000.0,10202.83472613572,202.8347261357194,2.0283472613571885,2.3559889916198884,0.8503527655472443
69,SOLUSDC,15m,20,55,14,2.0,3.0,0.0075,10.0,52,22,42.30769230769231,10000.0,10299.088991226907,299.0889912269067,2.990889912269057,3.5172857692785318,1.232247027629791
70,SOLUSDC,15m,20,55,14,2.0,3.5,0.0025,10.0,49,18,36.734693877551024,10000.0,10075.681867363337,75.681867363337,0.7568186736333748,1.2517463123731052,0.13094551744682226
71,SOLUSDC,15m,20,55,14,2.0,3.5,0.005,10.0,49,18,36.734693877551024,10000.0,10146.975777333602,146.9757773336023,1.4697577733360223,2.4907955105798667,0.22436001804608896
72,SOLUSDC,15m,20,55,14,2.0,3.5,0.0075,10.0,49,18,36.734693877551024,10000.0,10213.799035652026,213.79903565202585,2.1379903565202696,3.71724691801828,0.27936689751112964
73,SOLUSDC,15m,20,55,14,2.0,4.0,0.0025,10.0,40,15,37.5,10000.0,10136.359531419557,136.35953141955724,1.3635953141955648,1.135001041718218,0.7960947933364558
74,SOLUSDC,15m,20,55,14,2.0,4.0,0.005,10.0,40,15,37.5,10000.0,10269.869643728996,269.8696437289964,2.6986964372899713,2.263540034760951,1.5669264199094959
75,SOLUSDC,15m,20,55,14,2.0,4.0,0.0075,10.0,40,15,37.5,10000.0,10400.394683930554,400.3946839305536,4.003946839305539,3.385541716094557,2.3111759812582604
