entry_mode,vol_buy_x,ema_fast,ema_slow,base_k,ratio_max,atr_mult,tp_mult,cooldown,trades,wins,losses,win_rate_pct,equity_multiple
either,0.95,20,100,1.8,1.6,2.0,2.0,2,14,7,7,50.0,0.95412
either,0.95,20,100,1.8,1.6,2.0,3.0,1,15,8,7,53.333,0.957079
either,0.95,20,100,1.8,1.6,2.0,3.0,2,14,7,7,50.0,0.952111
either,0.95,20,200,1.6,1.4,1.5,2.0,1,12,2,10,16.667,0.901822
either,0.95,20,200,1.6,1.4,1.5,2.0,2,12,2,10,16.667,0.896738
either,0.95,20,200,1.6,1.4,1.5,3.0,1,12,2,10,16.667,0.901822
either,0.95,20,200,1.6,1.4,1.5,3.0,2,12,2,10,16.667,0.896738
either,0.95,20,200,1.6,1.4,2.0,2.0,1,11,3,8,27.273,0.916875
either,0.95,20,200,1.6,1.4,2.0,2.0,2,11,2,9,18.182,0.885657
either,0.95,20,200,1.6,1.4,2.0,3.0,1,11,3,8,27.273,0.916875
either,0.95,20,200,1.6,1.4,2.0,3.0,2,11,2,9,18.182,0.885657
either,0.95,20,200,1.6,1.6,1.5,2.0,1,12,2,10,16.667,0.901822
either,0.95,20,200,1.6,1.6,1.5,2.0,2,11,2,9,18.182,0.914469
either,0.95,20,200,1.6,1.6,1.5,3.0,1,12,2,10,16.667,0.901822
either,0.95,20,200,1.6,1.6,1.5,3.0,2,11,2,9,18.182,0.914469
either,0.95,20,200,1.6,1.6,2.0,2.0,1,11,3,8,27.273,0.916875
either,0.95,20,200,1.6,1.6,2.0,2.0,2,10,2,8,20.0,0.90129
either,0.95,20,200,1.6,1.6,2.0,3.0,1,11,3,8,27.273,0.916875
either,0.95,20,200,1.6,1.6,2.0,3.0,2,10,2,8,20.0,0.90129
either,0.95,20,200,1.8,1.4,1.5,2.0,1,12,2,10,16.667,0.901822
either,0.95,20,200,1.8,1.4,1.5,2.0,2,11,2,9,18.182,0.914469
either,0.95,20,200,1.8,1.4,1.5,3.0,1,12,2,10,16.667,0.891644
either,0.95,20,200,1.8,1.4,1.5,3.0,2,11,2,9,18.182,0.904149
either,0.95,20,200,1.8,1.4,2.0,2.0,1,11,3,8,27.273,0.916875
either,0.95,20,200,1.8,1.4,2.0,2.0,2,10,2,8,20.0,0.90129
either,0.95,20,200,1.8,1.4,2.0,3.0,1,11,3,8,27.273,0.905993
either,0.95,20,200,1.8,1.4,2.0,3.0,2,10,2,8,20.0,0.90129
either,0.95,20,200,1.8,1.6,1.5,2.0,1,12,2,10,16.667,0.901822
either,0.95,20,200,1.8,1.6,1.5,2.0,2,11,2,9,18.182,0.914469
